Season,lg_pts,lg_treb,lg_oreb,lg_dreb,lg_ast,lg_stl,lg_blk,lg_tov,lg_pf,lg_fga,lg_fgm,lg_fg3a,lg_fg3m,lg_fta,lg_ftm
2005,93.71621621621621,40.828828828828826,11.518018018018019,29.31081081081081,19.86936936936937,8.882882882882884,4.783783783783784,17.333333333333332,27.12162162162162,75.9054054054054,33.34234234234234,14.162162162162161,4.801801801801802,30.67117117117117,22.216216216216218
2006,97.48333333333333,40.31666666666667,11.291666666666666,29.025,20.304166666666667,8.583333333333334,4.295833333333333,19.475,27.5375,76.54583333333333,34.49166666666667,15.8875,5.233333333333333,31.6,23.216666666666665
2007,97.00471698113208,42.47641509433962,11.50943396226415,30.96698113207547,20.382075471698112,8.382075471698114,4.830188679245283,18.40566037735849,25.745283018867923,79.21698113207547,34.556603773584904,16.683962264150942,5.900943396226415,30.05188679245283,21.99056603773585
2008,95.64545454545454,41.58181818181818,10.822727272727272,30.759090909090908,20.3,9.027272727272727,4.918181818181818,17.936363636363637,24.55,77.7909090909091,34.32272727272727,16.704545454545453,5.8954545454545455,28.963636363636365,21.1
2009,99.44067796610169,41.190677966101696,10.707627118644067,30.483050847457626,20.576271186440678,8.491525423728813,4.851694915254237,17.8135593220339,26.173728813559322,78.40254237288136,35.21186440677966,17.14406779661017,5.838983050847458,31.199152542372882,23.177966101694917
2010,97.39495798319328,41.72268907563025,10.873949579831933,30.84873949579832,20.605042016806724,8.739495798319327,4.890756302521009,18.34453781512605,25.23109243697479,78.30672268907563,34.483193277310924,18.07563025210084,6.340336134453781,29.613445378151262,22.08823529411765
2011,93.1,42.56666666666667,11.233333333333333,31.333333333333332,19.85,8.783333333333333,5.166666666666667,18.0,25.233333333333334,77.75,33.13333333333333,18.1,5.683333333333334,29.266666666666666,21.15
2012,95.1853448275862,42.900862068965516,11.439655172413794,31.461206896551722,21.237068965517242,8.72844827586207,5.043103448275862,17.525862068965516,22.620689655172413,80.34913793103448,34.96551724137931,19.88362068965517,6.844827586206897,25.25862068965517,18.40948275862069
2013,95.54347826086956,43.28260869565217,10.843478260869565,32.43913043478261,20.97826086956522,8.734782608695653,5.0,18.639130434782608,24.217391304347824,80.23913043478261,34.469565217391306,21.030434782608694,7.091304347826087,26.869565217391305,19.51304347826087
2014,98.29661016949153,42.42372881355932,10.288135593220339,32.13559322033898,21.389830508474578,8.809322033898304,4.639830508474576,17.9364406779661,24.60169491525424,79.52966101694915,35.16101694915254,21.877118644067796,7.4576271186440675,27.966101694915253,20.516949152542374
2015,98.9770642201835,45.13302752293578,10.564220183486238,34.56880733944954,20.96788990825688,8.793577981651376,4.729357798165138,16.958715596330276,23.477064220183486,82.71100917431193,35.41743119266055,25.123853211009173,8.344036697247706,26.86697247706422,19.798165137614678
2016,102.47029702970298,44.54950495049505,10.054455445544555,34.495049504950494,21.980198019801982,9.099009900990099,4.7227722772277225,17.301980198019802,23.198019801980198,84.00990099009901,37.02970297029703,25.64851485148515,8.806930693069306,26.361386138613863,19.603960396039604
2017,103.17307692307692,43.84615384615385,9.115384615384615,34.73076923076923,22.878205128205128,8.788461538461538,4.666666666666667,18.166666666666668,22.064102564102566,84.16025641025641,37.57051282051282,29.583333333333332,10.487179487179487,23.935897435897434,17.544871794871796
2020,108.90816326530613,46.86734693877551,9.459183673469388,37.40816326530612,23.612244897959183,8.826530612244898,4.795918367346939,17.70408163265306,23.418367346938776,88.03061224489795,38.43877551020408,37.704081632653065,13.316326530612244,25.43877551020408,18.714285714285715
2021,107.9090909090909,46.96212121212121,10.287878787878787,36.67424242424242,24.075757575757574,9.378787878787879,5.545454545454546,16.96212121212121,20.151515151515152,90.08333333333333,39.734848484848484,37.59090909090909,12.886363636363637,20.742424242424242,15.553030303030303
2022,110.03571428571429,46.142857142857146,10.9,35.24285714285714,24.42142857142857,9.0,5.292857142857143,17.37857142857143,23.164285714285715,87.99285714285715,38.957142857142856,35.67142857142857,11.835714285714285,26.835714285714285,20.285714285714285
