Season,lg_pts,lg_treb,lg_oreb,lg_dreb,lg_ast,lg_stl,lg_blk,lg_tov,lg_pf,lg_fga,lg_fgm,lg_fg3a,lg_fg3m,lg_fta,lg_ftm
1996,94.02083333333333,40.388888888888886,11.833333333333334,28.555555555555557,19.96527777777778,7.395833333333333,4.604166666666667,13.805555555555555,23.368055555555557,76.04166666666667,33.50694444444444,19.23611111111111,6.680555555555555,26.8125,20.32638888888889
1997,91.23239436619718,39.30281690140845,11.359154929577464,27.943661971830984,20.274647887323944,7.507042253521127,4.669014084507042,13.17605633802817,24.338028169014084,74.29577464788733,33.359154929577464,13.964788732394366,4.809859154929577,27.169014084507044,19.704225352112676
1998,87.62121212121212,40.128787878787875,11.393939393939394,28.734848484848484,18.689393939393938,7.787878787878788,4.628787878787879,13.840909090909092,24.333333333333332,74.67424242424242,31.765151515151516,13.727272727272727,4.393939393939394,26.46969696969697,19.696969696969695
2000,93.61267605633803,43.17605633802817,12.633802816901408,30.54225352112676,20.190140845070424,7.267605633802817,5.528169014084507,15.316901408450704,22.64788732394366,80.2394366197183,34.38732394366197,14.82394366197183,5.288732394366197,25.809859154929576,19.549295774647888
2002,96.02272727272727,42.46590909090909,11.835227272727273,30.630681818181817,20.21590909090909,7.284090909090909,4.931818181818182,13.755681818181818,24.318181818181817,79.57386363636364,34.68181818181818,17.079545454545453,6.068181818181818,27.045454545454547,20.59090909090909
2003,88.03048780487805,42.426829268292686,11.445121951219512,30.98170731707317,19.621951219512194,7.817073170731708,5.012195121951219,15.646341463414634,23.24390243902439,76.9329268292683,32.3719512195122,15.634146341463415,5.067073170731708,25.20731707317073,18.21951219512195
2004,97.08333333333333,41.30952380952381,11.845238095238095,29.464285714285715,18.80952380952381,6.809523809523809,5.505952380952381,13.666666666666666,23.458333333333332,79.10119047619048,35.458333333333336,17.208333333333332,6.136904761904762,26.833333333333332,20.029761904761905
2006,94.24050632911393,41.20253164556962,11.10759493670886,30.09493670886076,19.5126582278481,7.082278481012659,4.430379746835443,14.430379746835444,22.170886075949365,77.44303797468355,34.24050632911393,18.310126582278482,6.405063291139241,26.063291139240505,19.354430379746834
2007,94.8546511627907,40.656976744186046,11.075581395348838,29.58139534883721,19.78488372093023,6.563953488372093,4.906976744186046,12.80232558139535,22.656976744186046,77.63953488372093,34.49418604651163,17.540697674418606,6.133720930232558,26.13953488372093,19.732558139534884
2008,96.67647058823529,39.811764705882354,9.905882352941177,29.905882352941177,18.99411764705882,7.076470588235294,4.758823529411765,13.235294117647058,22.711764705882352,77.31176470588235,34.89411764705882,19.270588235294117,6.870588235294117,26.341176470588234,20.01764705882353
2009,97.5060975609756,40.329268292682926,10.591463414634147,29.73780487804878,19.4390243902439,6.664634146341464,4.963414634146342,13.140243902439025,23.29268292682927,77.79268292682927,35.23170731707317,19.01219512195122,6.640243902439025,27.115853658536587,20.402439024390244
2010,94.01851851851852,40.67901234567901,10.950617283950617,29.728395061728396,18.425925925925927,7.04320987654321,5.395061728395062,13.5,21.487654320987655,77.41358024691358,33.96296296296296,17.91358024691358,6.104938271604938,25.839506172839506,19.987654320987655
2011,92.80357142857143,41.54761904761905,10.654761904761905,30.892857142857142,18.375,7.291666666666667,5.5,13.428571428571429,21.172619047619047,78.80952380952381,34.529761904761905,17.75595238095238,5.916666666666667,23.654761904761905,17.827380952380953
2012,95.17647058823529,41.3235294117647,10.476470588235294,30.847058823529412,19.288235294117648,7.047058823529412,4.8352941176470585,13.841176470588236,22.194117647058825,79.38823529411765,35.01764705882353,20.6,7.088235294117647,24.029411764705884,18.05294117647059
2013,99.54494382022472,41.12359550561798,10.241573033707866,30.882022471910112,19.808988764044944,7.084269662921348,4.353932584269663,13.320224719101123,22.00561797752809,79.99438202247191,36.359550561797754,22.348314606741575,8.01123595505618,24.668539325842698,18.814606741573034
2014,100.54938271604938,45.01851851851852,11.018518518518519,34.0,21.75925925925926,7.592592592592593,5.3580246913580245,13.487654320987655,21.876543209876544,84.53703703703704,36.81481481481482,25.549382716049383,8.790123456790123,25.0,18.12962962962963
2015,99.82558139534883,42.97674418604651,10.476744186046512,32.5,19.88372093023256,7.319767441860465,4.959302325581396,13.180232558139535,21.069767441860463,83.11046511627907,36.54651162790697,25.767441860465116,9.133720930232558,23.552325581395348,17.598837209302324
2016,106.04430379746836,41.75949367088607,9.708860759493671,32.050632911392405,22.164556962025316,7.550632911392405,4.6835443037974684,13.335443037974683,20.772151898734176,83.66455696202532,38.51898734177215,29.09493670886076,10.50632911392405,23.829113924050635,18.5
2017,104.4451219512195,42.84146341463415,9.189024390243903,33.65243902439025,21.804878048780488,7.304878048780488,4.823170731707317,13.213414634146341,20.73780487804878,84.2439024390244,38.3780487804878,29.914634146341463,10.50609756097561,22.45731707317073,17.182926829268293
2018,107.70121951219512,45.00609756097561,10.207317073170731,34.798780487804876,23.01219512195122,7.079268292682927,4.871951219512195,13.420731707317072,22.182926829268293,86.9451219512195,38.48780487804878,32.93292682926829,11.353658536585366,24.713414634146343,19.371951219512194
2019,109.56024096385542,43.15060240963855,8.80722891566265,34.3433734939759,22.867469879518072,7.036144578313253,4.259036144578313,14.0,21.753012048192772,84.98192771084338,38.83734939759036,36.30722891566265,13.072289156626505,23.873493975903614,18.813253012048193
2020,110.31764705882352,43.42941176470588,9.91764705882353,33.51176470588236,21.96470588235294,6.676470588235294,4.4,12.158823529411764,20.488235294117647,86.88823529411765,40.17058823529412,34.3,12.48235294117647,22.24705882352941,17.49411764705882
2021,106.29885057471265,41.99425287356322,9.367816091954023,32.62643678160919,22.885057471264368,7.091954022988506,4.557471264367816,13.71264367816092,21.448275862068964,83.74137931034483,38.1551724137931,34.58045977011494,12.270114942528735,22.57471264367816,17.7183908045977
2022,109.58928571428571,43.095238095238095,10.321428571428571,32.773809523809526,23.726190476190474,6.815476190476191,4.773809523809524,12.767857142857142,19.577380952380953,87.20833333333333,40.17857142857143,34.291666666666664,12.041666666666666,21.636904761904763,17.19047619047619
