Season,lg_pts,lg_treb,lg_oreb,lg_dreb,lg_ast,lg_stl,lg_blk,lg_tov,lg_pf,lg_fga,lg_fgm,lg_fg3a,lg_fg3m,lg_fta,lg_ftm
1996,96.90201850294365,41.08620689655172,12.66610597140454,28.42010092514718,22.046257359125317,8.194280908326325,4.909167367535744,15.665685449957948,22.12026913372582,79.30782169890665,36.07106812447435,16.796888141295206,6.0483599663582845,25.34524810765349,18.71152228763667
1997,95.57148864592094,41.546677880571906,13.05004205214466,28.496635828427248,22.029436501261564,8.38645920941968,5.072329688814129,15.487804878048781,22.404541631623214,79.70437342304457,35.9053826745164,12.71278385197645,4.394449116904962,26.280067283431453,19.36627417998318
1998,91.58068965517242,41.65172413793103,12.586206896551724,29.06551724137931,20.724137931034484,8.353793103448275,4.962758620689655,15.324137931034484,22.21103448275862,78.19241379310346,34.17172413793104,13.158620689655173,4.457241379310345,25.79241379310345,18.78
1999,97.47224558452481,42.919259882253996,12.416316232127839,30.502943650126156,22.342304457527334,7.934398654331371,5.169470142977292,15.470142977291841,23.300252312867958,82.09419680403701,36.83389402859546,13.714886459209419,4.841463414634147,25.277964676198486,18.962994112699747
2000,94.8103448275862,42.46761984861228,11.992851135407905,30.474768713204373,21.777123633305298,7.821698906644239,5.258620689655173,15.048359966358284,22.347771236333053,80.59882253994954,35.68755256518082,13.707737594617326,4.846089150546677,24.86837678721615,18.58915054667788
2001,95.47645079899075,42.40075693860387,12.234650967199327,30.16610597140454,21.922203532380152,7.795626576955425,5.223717409587889,14.460470984020185,21.23507148864592,81.27123633305298,36.16947014297729,14.74936921783011,5.215306980656013,23.822539949537425,17.922203532380152
2002,95.080740117746,42.306139613120266,12.049621530698065,30.256518082422204,21.502523128679563,7.9411269974768715,5.015979814970564,14.915054667788057,21.75357443229605,80.78595458368376,35.71783010933557,14.681244743481917,5.130361648444071,24.433557611438182,18.514718250630782
2003,93.39655172413794,42.20395290159798,12.09125315391085,30.11269974768713,21.302775441547517,7.932716568544996,5.055508830950378,14.917157275021026,21.449116904962153,79.81581160639193,35.01009251471825,14.925147182506308,5.181244743481917,24.20689655172414,18.195121951219512
2004,97.19878048780488,41.857723577235774,12.009756097560976,29.847967479674796,21.277235772357724,7.515853658536585,4.863008130081301,14.502845528455284,22.630487804878047,80.33577235772357,35.949186991869915,15.751219512195123,5.600406504065041,26.054878048780488,19.7
2005,97.00853658536586,40.95691056910569,11.17520325203252,29.78170731707317,20.614227642276422,7.1674796747967475,4.699186991869919,14.414227642276423,22.758536585365853,78.98983739837398,35.83983739837398,15.980894308943089,5.726016260162601,26.30081300813008,19.602845528455283
2006,98.73943089430894,41.05447154471545,11.121951219512194,29.932520325203253,21.286585365853657,7.2386178861788615,4.605284552845529,15.134959349593496,22.221951219512196,79.70447154471545,36.52845528455285,16.939837398373985,6.067479674796748,26.076829268292684,19.615040650406502
2007,99.92317073170732,41.980081300813005,11.199593495934959,30.78048780487805,21.75040650406504,7.2752032520325205,4.736178861788618,14.113414634146341,21.01991869918699,81.50447154471544,37.263821138211384,18.10731707317073,6.554471544715447,24.944308943089432,18.841056910569105
